Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,unique_movies,weighted_average
Dr. Shaitan,1960,120,5.0,1,0,5,Dr. Shaitan hindi 1960,5.562523510971787
Nadir Khan,1968,120,5.0,1,0,19,Nadir Khan urdu 1968,5.562523510971787
Apna Sapna Money Money,2006,134,5.3,1892,51519,5,Apna Sapna Money Money hindi 2006,5.303175910737783
Aag Aur Sholay,1987,120,2.2,20,0,19,Aag Aur Sholay urdu 1987,3.935988225399496
Parivar,1956,120,7.4,21,589,5,Parivar hindi 1956,6.494655172413793
Humraah: The Traitor,2008,120,5.0,1,24,5,Humraah: The Traitor hindi 2008,5.562523510971787
Jacqueline I Am Coming,2019,112,7.9,16,8,5,Jacqueline I Am Coming hindi 2019,6.588527493010251
A Mighty Heart,2007,108,6.6,26885,4812,19,A Mighty Heart urdu 2007,6.599211161720113
Midnight Mail,1939,120,5.0,1,1,5,Midnight Mail hindi 1939,5.562523510971787
Raktalekha,1992,175,6.3,12,8,2,Raktalekha bengali 1992,5.847742946708464
Veedevadandi Babu,1997,138,5.6,218,5,17,Veedevadandi Babu telugu 1997,5.599060741595729
A Mayalu Timi Lai,2018,120,5.0,1,2114,11,A Mayalu Timi Lai nepali 2018,5.562523510971787
Da Tang Xuan Zang,2016,90,6.2,379,412,15,Da Tang Xuan Zang sanskrit 2016,6.167938793103449
Sikandar,1976,120,5.0,1,0,5,Sikandar hindi 1976,5.562523510971787
Pehla Qadam,1958,120,5.0,1,0,19,Pehla Qadam urdu 1958,5.562523510971787
Amman Koil Kizhakkaalae,1986,141,6.9,63,8,16,Amman Koil Kizhakkaalae tamil 1986,6.572327586206897
Shatru,2013,120,4.5,11,124,6,Shatru kannada 2013,5.214859913793104
Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017,5,5.0,1,2114,11,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima nepali 2017,5.562523510971787
Zinda Jala Doonga,1988,120,5.0,1,1,5,Zinda Jala Doonga hindi 1988,5.562523510971787
Tukaram,2012,156,7.3,231,4812,10,Tukaram marathi 2012,7.157442528735633
Ramante Edenthottam,2017,122,6.0,459,5819,9,Ramante Edenthottam malayalam 2017,5.982032327586207
Faslah,1974,120,5.0,1,6819,5,Faslah hindi 1974,5.562523510971787
Jawani Ki Ghabrahat,1991,120,5.0,1,24,5,Jawani Ki Ghabrahat hindi 1991,5.562523510971787
Anbu Chinnam,1990,120,5.0,1,0,16,Anbu Chinnam tamil 1990,5.562523510971787
Naveed,2020,57,5.0,1,7,19,Naveed urdu 2020,5.562523510971787
Ramudu Bheemudu,1988,141,5.0,1,8,17,Ramudu Bheemudu telugu 1988,5.562523510971787
Vaade Kavali,2009,120,5.0,1,19,17,Vaade Kavali telugu 2009,5.562523510971787
Aakhri Muqabla,1978,120,5.0,1,1,5,Aakhri Muqabla hindi 1978,5.562523510971787
Dracula,1999,92,4.1,16,13,5,Dracula hindi 1999,4.945284249767008
Jahanara,1935,120,5.0,1,0,5,Jahanara hindi 1935,5.562523510971787
Geet,1970,120,7.1,98,1615,5,Geet hindi 1970,6.83340770791075
Sej Piya Ki,1985,120,5.0,1,8,5,Sej Piya Ki hindi 1985,5.562523510971787
Sati Sita Luv Kush,1981,120,5.0,1,8,5,Sati Sita Luv Kush hindi 1981,5.562523510971787
Nuvvu Vasthavani,2000,158,6.6,160,919,17,Nuvvu Vasthavani telugu 2000,6.482737664317013
Jam,0,120,5.0,1,8,2,Jam bengali 0,5.562523510971787
